City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Hurghada,EG,89.42,overcast clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
140,Auray,FR,63.75,clear sky,47.6703,-2.9918,Best Western Auray hotel du Loch
141,Grand-Lahou,CI,74.37,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
143,Troy,US,88.47,scattered clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
144,Kamyshla,RU,64.96,clear sky,54.1169,52.1426,Дом 100 м.кв. на трассе М5
147,Asfi,MA,70.57,clear sky,32.2994,-9.2372,Hôtel Abda
148,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
149,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
151,Dingle,PH,74.73,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
154,Sikeston,US,88.25,broken clouds,36.8767,-89.5879,Drury Inn & Suites Sikeston
158,Carlagan,PH,77.54,overcast clouds,14.975,122.0456,Cabatagan Island
163,Pochutla,MX,83.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
164,Finschhafen,PG,79.11,overcast clouds,-6.6024,147.8681,Cossam Guest House
165,Salinopolis,BR,80.8,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
166,Yeppoon,AU,65.98,clear sky,-23.1333,150.7333,Villa Mar Colina
168,Kipini,KE,73.69,clear sky,-2.5257,40.5262,Delta Sea Mall
169,Mongomo,GQ,68.32,light rain,1.6274,11.3135,NAIM OBUC
170,Kalundborg,DK,61.95,scattered clouds,55.6795,11.0886,Danhostel Kalundborg
173,Muhos,FI,64.18,light rain,64.808,25.9931,Montta - active camping / campsite Montan
174,Dharchula,IN,72.37,overcast clouds,29.85,80.5333,Mahara Hotel
177,Bandarbeyla,SO,75.97,clear sky,9.4942,50.8122,JABIR HOTEL
179,Rudraprayag,IN,74.44,scattered clouds,30.2833,78.9833,HOTEL PUSHPDEEP GRAND
181,Truckee,US,72.16,overcast clouds,39.328,-120.1833,Truckee Donner Lodge
183,Chipiona,ES,78.31,clear sky,36.7366,-6.437,Al Sur De Chipiona
185,Cobija,BO,82.58,thunderstorm,-11.0267,-68.7692,Hotel Obelisco
187,Autun,FR,64.11,overcast clouds,46.95,4.3,Les Ursulines Hotel
189,Iisaku,EE,68.99,clear sky,59.1014,27.3081,Raja Country House
190,Matara,LK,77.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
191,Joshimath,IN,69.94,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
193,Dwarka,IN,80.94,heavy intensity rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
194,Muana,BR,82.36,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
195,Katsuura,JP,72.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
198,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
201,Varadero,CU,81.36,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
203,Alekseyevka,RU,68.72,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
204,Kismayo,SO,74.84,few clouds,-0.3582,42.5454,Agan-Hotel
206,Ratnagiri,IN,77.41,overcast clouds,16.9833,73.3,Hotel Landmark
209,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
210,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
214,Mandalgovi,MN,68.16,scattered clouds,45.7625,106.2708,В.Ганбат
217,Terney,RU,68.77,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
218,Myitkyina,MM,72.66,broken clouds,25.3833,97.4,Shwe Phyu Hotel
219,Boa Vista,PT,71.47,broken clouds,41.0667,-8.6333,Requinte
221,Labuhan,ID,73.47,few clouds,-6.8844,112.2051,DoubleFAG
222,Northam,GB,60.62,overcast clouds,51.0333,-4.2167,Durrant House Hotel
224,Hambantota,LK,78.28,overcast clouds,6.1241,81.1185,Bungalow 63
226,Kenai,US,61.03,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
228,Komsomolskiy,UZ,77.29,scattered clouds,40.4272,71.7189,Ikathouse
229,Miyako,JP,65.46,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
230,Cayeli,TR,75.27,clear sky,41.0923,40.7292,Grand Cavusoglu Hotel
231,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
232,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Kodiak,US,63.91,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
237,Shitanjing,CN,79.57,scattered clouds,39.2342,106.3439,Yingbin Hotel
239,Faanui,PF,77.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Oktyabrskiy,RU,62.55,clear sky,54.4815,53.471,Гостиница Октябрьская
241,Muzhi,RU,61.02,overcast clouds,65.3667,64.6667,Gostinitsa
243,Muroto,JP,81.46,clear sky,33.2833,134.15,Oota Ryokan
244,Pisco,PE,66.25,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
246,Lastoursville,GA,78.17,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
247,Kikwit,CD,81.41,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
249,Surt,LY,81.7,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
250,Torbay,CA,79.75,scattered clouds,47.6666,-52.7314,Gallows Cove
251,Dhidhdhoo,MV,80.29,moderate rain,6.8833,73.1,Dhidhoo beach
253,Solnechnyy,RU,63.18,moderate rain,50.7214,136.6319,Hotel complex Pastoral
254,Nishihara,JP,82.45,scattered clouds,26.1842,127.7558,Minshuku Agaihama
255,Bassila,BJ,70.95,broken clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
257,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
